Edition;Super Bowl;Date;Network(s);Total Viewers P2+;HHLD Rating;Cost per 30-second spot;Cost per 30-second 2022-inflation-adjusted
57;LVII;Feb 12, 2023;FOX;113055000;40,0;7000000; 7000000.00
56;LVI;Feb 13, 2022;NBC;101085000;36,9;6500000; 6500000.00
55;LV;Feb 7, 2021;CBS;95877000;38,4;5500000; 5940405.90
54;LIV;Feb 2, 2020;FOX;102086000;41,6;5400000; 6107341.58
53;LIII;Feb 3, 2019;CBS;98950000;41,1;5199916; 5952348.12
52;LII;Feb 4, 2018;NBC;104016000;43,1;5235379; 6102729.72
51;LI;Feb 5, 2017;FOX;111973000;45,3;5399873; 6448563.15
50;SB 50;Feb 7, 2016;CBS;112336000;46,6;4800000; 5854000.00
49;XLIX;Feb 1, 2015;NBC;114810000;47,5;4283129; 5289754.68
48;XLVIII;Feb 2, 2014;FOX;112752000;46,7;4084864; 5051287.25
47;XLVII;Feb 3, 2013;CBS;108693000;46,4;3765130; 4729843.57
46;XLVI;Feb 5, 2012;NBC;111346000;47,1;3442752; 4388909.02
45;XLV;Feb 6, 2011;FOX;111041000;46,0;2948649; 3837570.31
44;XLIV;Feb 7, 2010;CBS;106476000;45,0;2800000; 3757725.81
43;XLIII;Feb 1, 2009;NBC;98732000;42,0;3000000; 4092752.27
42;XLII;Feb 3, 2008;FOX;97448000;43,1;2699963; 3670595.31
41;XLI;Feb 4, 2007;CBS;93184000;42,6;2385365; 3367398.16
40;XL;Feb 5, 2006;ABC;90745000;41,6;2500000; 3630612.75
39;XXXIX;Feb 6, 2005;FOX;86072000;41,1;2400000; 3597480.41
38;XXXVIII;Feb 1, 2004;CBS;89795000;41,4;2302200; 3567063.36
37;XXXVII;Jan 26, 2003;ABC;88637000;40,7;2200000; 3499673.91
36;XXXVI;Feb 3, 2002;FOX;86801000;40,4;2200000; 3580030.02
35;XXXV;Jan 28, 2001;CBS;84335000;40,4;2200000; 3636024.84
34;XXXIV;Jan 30, 2000;ABC;88465000;43,3;2100000; 3569719.50
33;XXXIII;Jan 31, 1999;FOX;83720000;40,2;1600000; 2811381.92
32;XXXII;Jan 25, 1998;NBC;90000000;44,5;1291100; 2318293.17
31;XXXI;Jan 26, 1997;FOX;87870000;43,3;1200000; 2188002.24
30;XXX;Jan 28, 1996;NBC;94080000;46,0;1085000; 2024604.74
29;XXIX;Jan 29, 1995;ABC;83420000;41,3;1150000; 2208984.12
28;XXVIII;Jan 30, 1994;NBC;90000000;45,5;900000; 1777170.61
27;XXVII;Jan 31, 1993;NBC;90990000;45,1;850000; 1722003.05
26;XXVI;Jan 26, 1992;CBS;79590000;40,3;850000; 1773180.81
25;XXV;Jan 27, 1991;ABC;79510000;41,9;800000; 1719615.19
24;XXIV;Jan 28, 1990;CBS;73852000;39,0;700400; 1569011.79
23;XXIII;Jan 22, 1989;NBC;81590000;43,5;675000; 1593326.61
22;XXII;Jan 31, 1988;ABC;80140000;41,9;645000; 1596140.51
21;XXI;Jan 25, 1987;CBS;87190000;45,8;600000; 1545678.58
20;XX;Jan 26, 1986;NBC;92570000;48,3;550000; 1468841.24
19;XIX;Jan 20, 1985;ABC;85530000;46,4;525000; 1428136.62
18;XVIII;Jan 22, 1984;CBS;77620000;46,4;368200; 1036968.54
17;XVII;Jan 30, 1983;NBC;81770000;48,6;400000; 1175738.10
16;XVI;Jan 24, 1982;CBS;85240000;49,1;324300; 983348.29
15;XV;Jan 25, 1981;NBC;68290000;44,4;275000; 885213.90
14;XIV;Jan 20, 1980;CBS;76240000;46,3;222000; 788776.40
13;XIII;Jan 21, 1979;NBC;74740000;47,1;185000; 746066.41
12;XII;Jan 15, 1978;CBS;78940000;47,2;162300; 728160.79
11;XI;Jan 9, 1977;NBC;62050000;44,4;125000; 603554.93
10;X;Jan 18, 1976;CBS;57710000;42,3;110000; 565554.19
9;IX;Jan 12, 1975;NBC;56050000;42,4;107000; 581811.26
8;VIII;Jan 13, 1974;CBS;51700000;41,6;103500; 614242.70
7;VII;Jan 14, 1973;NBC;53320000;42,7;88100; 580393.20
6;VI;Jan 16, 1972;CBS;56640000;44,2;86100; 602761.78
5;V;Jan 17, 1971;NBC;46040000;39,9;72500; 524228.01
4;IV;Jan 11, 1970;CBS;44270000;39,4;78200; 589318.74
3;III;Jan 12, 1969;NBC;41660000;36,0;55000; 438890.40
2;II;Jan 14, 1968;CBS;39120000;36,8;54500; 458526.88
1;I;Jan 15, 1967;CBS;26750000;22,6;42500; 372670.76
1;I;Jan 15, 1967;NBC;24430000;18,5;37500; 328827.14
